N,Seed,Sent,Received,Lost,PDR_percent,Loss_percent,Mean_Delay_ms,Throughput_bps,Sensor_Energy_J,Gateway_Energy_J,Energy_per_packet_mJ
10,0,100,100,0,100.0,0.0,5.2884233916,400.0,0.17888233431867095,0.01811054703175,1.9699288135042095
10,1,100,100,0,100.0,0.0,5.4100238681,400.0,0.17888722553866104,0.018111036153747,1.9699826169240804
10,2,100,100,0,100.0,0.0,5.3844183867,400.0,0.178893321308222,0.01811164573073,1.9700496703895196
10,3,100,100,0,100.0,0.0,5.314022297,400.0,0.17886599348066498,0.018108912947955,1.9697490642862
10,4,100,100,0,100.0,0.0,5.4676297141,400.0,0.178911188339917,0.018113432433843,1.9702462077376002
20,0,200,200,0,100.0,0.0,5.6674650293,800.0,0.690713844239829,0.03572636015781,3.632201021988195
20,1,200,200,0,100.0,0.0,5.39722636625,800.0,0.690541363077572,0.035725285753747,3.6313332441565946
20,2,200,200,0,100.0,0.0,5.494821589,800.0,0.690553490616765,0.03572589213073,3.6313969137374746
20,3,200,200,0,100.0,0.0,5.3876232513,800.0,0.690579376276152,0.035727186413691,3.631532813449215
20,4,200,200,0,100.0,0.0,5.42122806885,800.0,0.6905890966796701,0.035727672433843,3.6315838455675653
30,0,300,300,0,100.0,0.0,5.630931691,1200.0,1.535284165215966,0.053340865236911,5.295416768176256
30,1,300,300,0,100.0,0.0,5.3801584484667,1200.0,1.5350418676390734,0.053342183854511,5.2946135049786145
30,2,300,300,0,100.0,0.0,5.5017551656333,1200.0,1.5350054506313928,0.053340969954271,5.29448806861888
30,3,300,300,0,100.0,0.0,5.4302896410667,1200.0,1.5350191924141798,0.053341428013692,5.294535401426239
30,4,300,300,0,100.0,0.0,5.3908261507,1200.0,1.535033917019209,0.053341918833844,5.2945861195101775
40,0,400,400,0,100.0,0.0,5.690903707825,1600.0,2.71254743125342,0.070956663132408,6.9587602359645695
40,1,400,400,0,100.0,0.0,5.494344424175,1600.0,2.7122561861852956,0.07095643025451,6.958031541099514
40,2,400,400,0,100.0,0.0,5.465223179800001,1600.0,2.7122662960307484,0.070956683000653,6.958057447578504
40,3,400,400,0,100.0,0.0,5.5854236371,1600.0,2.7124422187262938,0.070955923693563,6.958495356049642
40,4,400,400,0,100.0,0.0,5.588345728525,1600.0,2.7183476611015203,0.071104949431614,6.973631526332835
5,0,50,50,0,100.0,0.0,5.4036216094,200.0,0.0478368552513778,0.0093017326501675,1.142771758030906
5,1,50,50,0,100.0,0.0,5.339628796,200.0,0.0477940091237661,0.0092931634246092,1.1417434509675062
5,2,50,50,0,100.0,0.0,5.3908183296,200.0,0.0478508286541099,0.0093045273307303,1.1431071196968041
5,3,50,50,0,100.0,0.0,5.3588266978,200.0,0.047837124740442695,0.0093017865479551,1.142778225767956
5,4,50,50,0,100.0,0.0,5.3332336722,200.0,0.0478278252377569,0.009299926647383,1.142555037702798
