T_s,Seed,Sent,Received,Lost,PDR_percent,Loss_percent,Mean_Delay_ms,Throughput_bps,Total_Energy_J,Energy_per_packet_mJ
1,0,7136,7135,1,99.9859865470852,0.014013452914798207,5.9493490139384,4756.666666666667,16.236493768834197,2.2756123011680724
1,1,7146,7146,0,100.0,0.0,5.4332571509022,4764.0,16.1039332248338,2.253559085479121
1,2,7140,7140,0,100.0,0.0,5.5850019022951,4760.0,16.131388452666997,2.2592981026144257
1,3,7163,7163,0,100.0,0.0,5.8230153955507,4775.333333333333,16.162927323484,2.256446645746754
1,4,7145,7145,0,100.0,0.0,5.4205667738915,4763.333333333333,16.101685994137902,2.25355997118795
5,0,1434,1434,0,100.0,0.0,5.3853327779350995,956.0,3.2627652418048605,2.2752895689015764
5,1,1435,1435,0,100.0,0.0,5.4204818710216,956.6666666666666,3.264984438000231,2.2752504794426693
5,2,1433,1433,0,100.0,0.0,5.4191346976071,955.3333333333334,3.26052054002706,2.275310914184969
5,3,1437,1437,0,100.0,0.0,5.399775270970101,958.0,3.2695176920708797,2.2752384774327625
5,4,1433,1433,0,100.0,0.0,5.4037356781598,955.3333333333334,3.26051932372183,2.2753100654025333
10,0,720,720,0,100.0,0.0,5.3663778536389,480.0,1.6576057092528902,2.3022301517401256
10,1,720,720,0,100.0,0.0,5.4192677672778,480.0,1.6575916796001697,2.302210666111347
10,2,720,720,0,100.0,0.0,5.413930401944399,480.0,1.6575995625006898,2.3022216145842918
10,3,720,720,0,100.0,0.0,5.4121566220833,480.0,1.6576165129794198,2.302245156915861
10,4,720,720,0,100.0,0.0,5.4148284901667,480.0,1.6576228312417103,2.302253932280153
30,0,240,240,0,100.0,0.0,5.35348896475,160.0,0.5772169684528581,2.405070701886909
30,1,240,240,0,100.0,0.0,5.3961566561667,160.0,0.577202814000106,2.4050117250004415
30,2,240,240,0,100.0,0.0,5.4721526241667,160.0,0.577210696900648,2.4050445704193666
30,3,240,240,0,100.0,0.0,5.38282328875,160.0,0.577227584979385,2.4051149374141043
30,4,240,240,0,100.0,0.0,5.3921618235,160.0,0.577233882441668,2.4051411768402833
60,0,120,120,0,100.0,0.0,5.3508222980833,80.0,0.30549475725285896,2.5457896437738246
60,1,120,120,0,100.0,0.0,5.3614899895,80.0,0.30548060280010697,2.545671690000891
60,2,120,120,0,100.0,0.0,5.3934859575,80.0,0.30548863130065007,2.545738594172084
60,3,120,120,0,100.0,0.0,5.3214899554167,80.0,0.305505456979384,2.5458788081615333
60,4,120,120,0,100.0,0.0,5.4388284901667,80.0,0.305511733641672,2.5459311136806
