run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
Critical_N10-0-20260913-16:09:03-1151,runattr,,,configname,Critical_N10,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,runattr,,,datetime,20260913-16:09:03,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,runattr,,,datetimef,20260913-160903,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,runattr,,,experiment,Critical_N10,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,runattr,,,inifile,omnetpp.ini,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,runattr,,,iterationvars,,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,runattr,,,iterationvarsd,,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,runattr,,,iterationvarsf,,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,runattr,,,measurement,,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,runattr,,,network,simulations.experiment3_critical_event.CriticalEventNetwork,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,runattr,,,processid,1151,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,runattr,,,repetition,0,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,runattr,,,replication,#0,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,runattr,,,resultdir,results,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,runattr,,,runnumber,0,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,runattr,,,seedset,0,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,image-path,../../../inet-4.6.0/images,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,extends,CriticalEventBase,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.numSensors,10,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,repeat,5,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,seed-set,0,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,extends,Ieee802154Power,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,sim-time-limit,100s,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[4].numApps,2,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[4].app[1].typename,UdpBasicApp,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[4].app[1].destAddresses,"""monitoringServer""",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[4].app[1].destPort,2000,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[4].app[1].startTime,50s,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[4].app[1].stopTime,51s,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[4].app[1].sendInterval,1000s,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[4].app[1].messageLength,20B,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[4].app[1].packetName,"""CriticalSmokeAlarm""",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[4].app[1].packetSent.result-recording-modes,count,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.monitoringServer.app[1].packetReceived.result-recording-modes,count,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.monitoringServer.app[1].endToEndDelay.result-recording-modes,"+stats,+vector",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,extends,Ieee802154,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,sim-time-limit,600s,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[*].app[0].packetSent.result-recording-modes,count,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.monitoringServer.app[0].packetReceived.result-recording-modes,count,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.monitoringServer.app[0].endToEndDelay.result-recording-modes,+stats,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.monitoringServer.app[0].throughput.result-recording-modes,vector,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,**.energyStorage.residualEnergyCapacity.result-recording-modes,+last,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,network,simulations.experiment3_critical_event.CriticalEventNetwork,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,**.arp.typename,GlobalArp,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,**.netmaskRoutes,"""""",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.radioMedium.backgroundNoise.power,-110dBm,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.configurator.config,"xmldoc(""startopology.xml"")",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.configurator.addStaticRoutes,false,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[*].numApps,1,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[*].app[0].typename,UdpBasicApp,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[*].app[0].destAddresses,"""monitoringServer""",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[*].app[0].destPort,1000,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[*].app[0].sendInterval,10s,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[*].app[0].startTime,"uniform(0s,10s)",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[*].app[0].messageLength,50B,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[*].app[0].packetName,"""PeriodicMonitoring""",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[*].mobility.initFromDisplayString,false,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[*].mobility.initialX,"uniform(1m, 19m)",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[*].mobility.initialY,"uniform(1m, 19m)",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.sensor[*].mobility.initialZ,0m,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.controller.numApps,0,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.monitoringServer.numApps,2,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.monitoringServer.app[0].typename,UdpSink,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.monitoringServer.app[0].localPort,1000,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.monitoringServer.app[1].typename,UdpSink,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.monitoringServer.app[1].localPort,2000,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.lamp*.numApps,0,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.routingTableVisualizer[0].displayRoutingTables,false,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.routingTableVisualizer[0].displayRoutesIndividually,false,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.routingTableVisualizer[0].lineShift,0,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.routingTableVisualizer[0].displayLabels,false,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.interfaceTableVisualizer[0].displayInterfaceTables,false,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.numDataLinkVisualizers,2,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.dataLinkVisualizer[*].displayLinks,true,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.dataLinkVisualizer[0].nodeFilter,"""sensor* or controller""",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.dataLinkVisualizer[1].*Color,"""blue""",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.dataLinkVisualizer[1].nodeFilter,"""lamp* or controller""",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.numStatisticVisualizers,2,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.statisticVisualizer[*].zIndex,1,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.statisticVisualizer[0].displayStatistics,true,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.statisticVisualizer[0].signalName,"""packetSent""",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.statisticVisualizer[0].statisticExpression,"""count""",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.statisticVisualizer[0].sourceFilter,"""**.controller.udp OR **.sensor*.udp""",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.statisticVisualizer[0].format,"""sent: %v pks""",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.statisticVisualizer[1].displayStatistics,true,,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.statisticVisualizer[1].signalName,"""packetReceived""",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.statisticVisualizer[1].statisticExpression,"""count""",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.statisticVisualizer[1].sourceFilter,"""**.controller.udp OR **.lamp*.udp""",,,,,,,
Critical_N10-0-20260913-16:09:03-1151,config,,,*.visualizer.statisticVisualizer[1].format,"""rcvd: %v pks""",,,,,,,
Critical_N20-1-20260913-16:09:22-1249,runattr,,,configname,Critical_N20,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,runattr,,,datetime,20260913-16:09:22,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,runattr,,,datetimef,20260913-160922,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,runattr,,,experiment,Critical_N20,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,runattr,,,inifile,omnetpp.ini,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,runattr,,,iterationvars,,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,runattr,,,iterationvarsd,,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,runattr,,,iterationvarsf,,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,runattr,,,measurement,,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,runattr,,,network,simulations.experiment3_critical_event.CriticalEventNetwork,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,runattr,,,processid,1249,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,runattr,,,repetition,1,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,runattr,,,replication,#1,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,runattr,,,resultdir,results,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,runattr,,,runnumber,1,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,runattr,,,seedset,1,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,image-path,../../../inet-4.6.0/images,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,extends,CriticalEventBase,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.numSensors,20,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,repeat,5,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,seed-set,1,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,extends,Ieee802154Power,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,sim-time-limit,100s,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.sensor[4].numApps,2,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.sensor[4].app[1].typename,UdpBasicApp,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.sensor[4].app[1].destAddresses,"""monitoringServer""",,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.sensor[4].app[1].destPort,2000,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.sensor[4].app[1].startTime,50s,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.sensor[4].app[1].stopTime,51s,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.sensor[4].app[1].sendInterval,1000s,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.sensor[4].app[1].messageLength,20B,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.sensor[4].app[1].packetName,"""CriticalSmokeAlarm""",,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.sensor[4].app[1].packetSent.result-recording-modes,count,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.monitoringServer.app[1].packetReceived.result-recording-modes,count,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.monitoringServer.app[1].endToEndDelay.result-recording-modes,"+stats,+vector",,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,extends,Ieee802154,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,sim-time-limit,600s,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.sensor[*].app[0].packetSent.result-recording-modes,count,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.monitoringServer.app[0].packetReceived.result-recording-modes,count,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.monitoringServer.app[0].endToEndDelay.result-recording-modes,+stats,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.monitoringServer.app[0].throughput.result-recording-modes,vector,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,**.energyStorage.residualEnergyCapacity.result-recording-modes,+last,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,network,simulations.experiment3_critical_event.CriticalEventNetwork,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,**.arp.typename,GlobalArp,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,**.netmaskRoutes,"""""",,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.radioMedium.backgroundNoise.power,-110dBm,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.configurator.config,"xmldoc(""startopology.xml"")",,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.configurator.addStaticRoutes,false,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.sensor[*].numApps,1,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.sensor[*].app[0].typename,UdpBasicApp,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.sensor[*].app[0].destAddresses,"""monitoringServer""",,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.sensor[*].app[0].destPort,1000,,,,,,,
Critical_N20-1-20260913-16:09:22-1249,config,,,*.sensor[*].app[0].sendInterval,10s,,,,,,,
