run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
PUB_T1-1-20260914-20:24:11-1777,runattr,,,configname,PUB_T1,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,runattr,,,datetime,20260914-20:24:11,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,runattr,,,datetimef,20260914-202411,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,runattr,,,experiment,PUB_T1,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,runattr,,,inifile,omnetpp.ini,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,runattr,,,iterationvars,,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,runattr,,,iterationvarsd,,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,runattr,,,iterationvarsf,,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,runattr,,,measurement,,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,runattr,,,network,simulations.experiment4_application_strategy.ApplicationStrategyNetwork,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,runattr,,,processid,1777,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,runattr,,,repetition,1,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,runattr,,,replication,#1,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,runattr,,,resultdir,results,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,runattr,,,runnumber,1,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,runattr,,,seedset,1,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,image-path,../../../inet-4.6.0/images,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,extends,PublishSubscribeBase,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,*.sensor[*].app[0].sendInterval,1s,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,repeat,5,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,seed-set,1,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,extends,Common,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,*.sensor[*].numApps,1,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,*.sensor[*].app[0].typename,UdpBasicApp,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,*.sensor[*].app[0].destAddresses,"""monitoringServer""",,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,*.sensor[*].app[0].destPort,3000,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,*.sensor[*].app[0].messageLength,50B,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,*.sensor[*].app[0].sendInterval,10s,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,*.sensor[*].app[0].startTime,"uniform(1s,2s)",,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,*.sensor[*].app[0].packetName,"""SensorPublication""",,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,*.monitoringServer.numApps,1,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,*.monitoringServer.app[0].typename,UdpSink,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,*.monitoringServer.app[0].localPort,3000,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,*.sensor[*].app[0].packetSent.result-recording-modes,count,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,*.monitoringServer.app[0].packetReceived.result-recording-modes,count,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,*.monitoringServer.app[0].endToEndDelay.result-recording-modes,+stats,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,network,simulations.experiment4_application_strategy.ApplicationStrategyNetwork,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,sim-time-limit,600s,,,,,,,
PUB_T1-1-20260914-20:24:11-1777,config,,,*.numSensors,12,,,,,,,
