run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
RR_T1-3-20260914-20:16:05-852,runattr,,,configname,RR_T1,,,,,,,
RR_T1-3-20260914-20:16:05-852,runattr,,,datetime,20260914-20:16:05,,,,,,,
RR_T1-3-20260914-20:16:05-852,runattr,,,datetimef,20260914-201605,,,,,,,
RR_T1-3-20260914-20:16:05-852,runattr,,,experiment,RR_T1,,,,,,,
RR_T1-3-20260914-20:16:05-852,runattr,,,inifile,omnetpp.ini,,,,,,,
RR_T1-3-20260914-20:16:05-852,runattr,,,iterationvars,,,,,,,,
RR_T1-3-20260914-20:16:05-852,runattr,,,iterationvarsd,,,,,,,,
RR_T1-3-20260914-20:16:05-852,runattr,,,iterationvarsf,,,,,,,,
RR_T1-3-20260914-20:16:05-852,runattr,,,measurement,,,,,,,,
RR_T1-3-20260914-20:16:05-852,runattr,,,network,simulations.experiment4_application_strategy.ApplicationStrategyNetwork,,,,,,,
RR_T1-3-20260914-20:16:05-852,runattr,,,processid,852,,,,,,,
RR_T1-3-20260914-20:16:05-852,runattr,,,repetition,3,,,,,,,
RR_T1-3-20260914-20:16:05-852,runattr,,,replication,#3,,,,,,,
RR_T1-3-20260914-20:16:05-852,runattr,,,resultdir,results,,,,,,,
RR_T1-3-20260914-20:16:05-852,runattr,,,runnumber,3,,,,,,,
RR_T1-3-20260914-20:16:05-852,runattr,,,seedset,3,,,,,,,
RR_T1-3-20260914-20:16:05-852,config,,,image-path,../../../inet-4.6.0/images,,,,,,,
RR_T1-3-20260914-20:16:05-852,config,,,extends,RequestResponseBase,,,,,,,
RR_T1-3-20260914-20:16:05-852,config,,,*.monitoringServer.app[*].sendInterval,1s,,,,,,,
RR_T1-3-20260914-20:16:05-852,config,,,repeat,5,,,,,,,
RR_T1-3-20260914-20:16:05-852,config,,,seed-set,3,,,,,,,
RR_T1-3-20260914-20:16:05-852,config,,,extends,Common,,,,,,,
RR_T1-3-20260914-20:16:05-852,config,,,*.sensor[*].numApps,1,,,,,,,
RR_T1-3-20260914-20:16:05-852,config,,,*.sensor[*].app[0].typename,UdpEchoApp,,,,,,,
RR_T1-3-20260914-20:16:05-852,config,,,*.sensor[*].app[0].localPort,2000,,,,,,,
RR_T1-3-20260914-20:16:05-852,config,,,*.monitoringServer.numApps,12,,,,,,,
RR_T1-3-20260914-20:16:05-852,config,,,*.monitoringServer.app[*].typename,UdpBasicApp,,,,,,,
RR_T1-3-20260914-20:16:05-852,config,,,*.monitoringServer.app[*].destPort,2000,,,,,,,
RR_T1-3-20260914-20:16:05-852,config,,,*.monitoringServer.app[*].messageLength,50B,,,,,,,
